Year_Month,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04,500,0,500,0,500,1.0,0.0,All
2024-05,300,0,300,0,300,1.0,0.0,All
2024-06,10350,0,10350,0,10350,1.0,0.0,All
2024-07,18464,0,18464,0,18464,1.0,0.0,All
2024-08,990,0,990,0,990,1.0,0.0,All
2024-09,12630,0,12630,0,12630,1.0,0.0,All
2024-10,5830,0,5830,0,5830,1.0,0.0,All
2024-11,480,0,480,0,480,1.0,0.0,All
2024-04,500,0,500,0,500,1.0,0.0,Small
2024-06,250,0,250,0,250,1.0,0.0,Small
2024-07,3264,0,3264,0,3264,1.0,0.0,Small
2024-08,990,0,990,0,990,1.0,0.0,Small
2024-09,1030,0,1030,0,1030,1.0,0.0,Small
2024-10,830,0,830,0,830,1.0,0.0,Small
2024-11,480,0,480,0,480,1.0,0.0,Small
2024-05,300,0,300,0,300,1.0,0.0,Medium
2024-06,2500,0,2500,0,2500,1.0,0.0,Medium
2024-07,3950,0,3950,0,3950,1.0,0.0,Medium
2024-09,1500,0,1500,0,1500,1.0,0.0,Medium
2024-10,1000,0,1000,0,1000,1.0,0.0,Medium
2024-06,7600,0,7600,0,7600,1.0,0.0,Large
2024-07,11250,0,11250,0,11250,1.0,0.0,Large
2024-09,10100,0,10100,0,10100,1.0,0.0,Large
2024-10,4000,0,4000,0,4000,1.0,0.0,Large
