Year_Month,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04,500,0,500,0,500,1.0,0.0,All
2024-05,300,0,800,0,800,1.0,0.0,All
2024-06,10350,0,11150,0,11150,1.0,0.0,All
2024-07,18464,0,29614,0,29614,1.0,0.0,All
2024-08,990,0,30604,0,30604,1.0,0.0,All
2024-09,12630,0,43234,0,43234,1.0,0.0,All
2024-10,5830,0,49064,0,49064,1.0,0.0,All
2024-11,480,0,49544,0,49544,1.0,0.0,All
2024-04,500,0,500,0,500,1.0,0.0,Small
2024-06,250,0,750,0,750,1.0,0.0,Small
2024-07,3264,0,4014,0,4014,1.0,0.0,Small
2024-08,990,0,5004,0,5004,1.0,0.0,Small
2024-09,1030,0,6034,0,6034,1.0,0.0,Small
2024-10,830,0,6864,0,6864,1.0,0.0,Small
2024-11,480,0,7344,0,7344,1.0,0.0,Small
2024-05,300,0,300,0,300,1.0,0.0,Medium
2024-06,2500,0,2800,0,2800,1.0,0.0,Medium
2024-07,3950,0,6750,0,6750,1.0,0.0,Medium
2024-09,1500,0,8250,0,8250,1.0,0.0,Medium
2024-10,1000,0,9250,0,9250,1.0,0.0,Medium
2024-06,7600,0,7600,0,7600,1.0,0.0,Large
2024-07,11250,0,18850,0,18850,1.0,0.0,Large
2024-09,10100,0,28950,0,28950,1.0,0.0,Large
2024-10,4000,0,32950,0,32950,1.0,0.0,Large
